id_transaccion,fecha_emision,nombre,correo,telefono,direccion,ciudad,cantidad,monto,pago,estado_pago,ip,timestamp,observaciones
fef872f9-6e1a-4bce-8b9b-778aff52b226,2025-07-21,Miranda Savage,genesiscarrion903@gmail.com,827-330-3249,Togo,South Jody,8,776.77,fraccionado,exitoso,167.91.240.234,2025-07-21 20:58:26,promoción aplicada
69f54da5-0245-46de-8cff-be077b127327,2025-07-21,Joel Burnett,henrymiguelvegamena@gmail.com,001-483-278-2529,Kyrgyz Republic,Tanyaville,5,909.92,completo,fallido,148.80.31.155,2025-07-21 20:58:26,cliente frecuente
3ae162f0-6bb0-4d4d-a89d-e85ed38b8193,2025-07-21,Norman Santiago,jonathanvelasquez073@gmail.com,525-922-7293x03799,Peru,Smithland,3,275.57,completo,fallido,207.203.108.44,2025-07-21 20:58:26,
1dfb5811-db8b-4278-a475-9b5c6e89505e,2025-07-21,Christopher Sims,smorris@example.org,705.799.3599x306,Mexico,South Lisa,7,276.54,fraccionado,exitoso,34.39.68.129,2025-07-21 20:58:26,cliente frecuente
f816ab79-94a9-4c0b-a38f-bbf13083bf55,2025-07-21,Alison Jordan,esingleton@example.com,001-233-836-8480x760,Montenegro,South Jenniferland,10,309.37,completo,exitoso,65.157.75.36,2025-07-21 20:58:26,
e9b3ea86-7420-4bb0-9555-9a03d253e600,2025-07-21,Gina Mckinney,kaylagarcia@example.net,(227)642-8983x533,Australia,East Krystal,1,888.08,fraccionado,exitoso,64.37.17.26,2025-07-21 20:58:26,cliente frecuente
c2d79940-dfbb-4813-9889-29895bfab9ff,2025-07-21,Kristin Mendoza,rramirez@example.net,864-887-0898x4891,South Africa,Port Daniel,8,394.15,completo,exitoso,60.140.41.145,2025-07-21 20:58:26,
4ee43805-09ee-4784-a32d-2a6a5cff7a6c,2025-07-21,Marissa Downs,emilyjones@example.net,943-675-3306x47425,New Caledonia,Michaelfurt,6,987.19,fraccionado,exitoso,222.254.229.147,2025-07-21 20:58:26,
0ad10260-8f03-4bd2-a29c-0daeed91bf18,2025-07-21,Casey Reynolds,lisa13@example.org,(601)782-6958x9968,Finland,Johnsonshire,7,848.5,completo,fallido,37.143.236.38,2025-07-21 20:58:26,promoción aplicada
56ae4022-6bb1-4a63-94d0-1bd56ed36f0d,2025-07-21,Sandra Matthews,mistywalker@example.com,284-967-7983,Senegal,Johnview,2,439.81,fraccionado,fallido,91.219.12.227,2025-07-21 20:58:26,promoción aplicada
